name,date,entry_bar,entry_min,entry,stop_1,stop_2,t1,t2,risk_unit,both_in_bar,exit_bar,holding_min,reasons
WMT,2022-04-26,31,601,52.37,52.09,52.17,52.41,52.41,0.23999999999999488,0,45,14,"['t1', 't2', 'trail_stop']"
LLY,2022-05-02,42,612,288.54,287.87,288.34,288.68,291.35,0.4350000000000023,2,43,1,"['be_stop', 'stop', 't1']"
LLY,2022-05-02,116,686,289.91,289.1,289.19,289.96,290.28,0.7650000000000432,0,117,1,['stop']
LLY,2022-05-02,182,752,289.67,288.99,288.92,290.12,290.12,0.714999999999975,0,187,5,['stop']
XOM,2022-05-03,46,616,86.94,86.46,86.49,86.97,87.11,0.4650000000000034,0,77,31,"['t1', 't2', 'trail_stop']"
LLY,2022-05-03,79,650,287.27,285.79,286.8,287.31,287.32,0.9749999999999659,0,101,22,"['t1', 't2', 'trail_stop']"
LLY,2022-05-03,182,753,287.49,287.19,287.04,287.56,287.6,0.375,0,187,5,"['be_stop', 't1', 't2']"
XOM,2022-05-03,294,864,88.01,87.84,87.85,88.13,88.18,0.16500000000000625,0,309,15,['stop']
XOM,2022-05-04,29,599,89.58,89.28,89.29,89.58,89.58,0.2950000000000017,2,30,1,"['be_stop', 't1']"
CVX,2022-05-04,57,627,164.58,164.17,164.26,164.59,164.6,0.3650000000000375,2,62,5,"['be_stop', 't1']"
XOM,2022-05-04,90,660,89.62,89.49,89.42,89.62,89.62,0.16500000000000625,1,94,4,"['be_stop', 'stop', 't1']"
CVX,2022-05-04,94,664,164.63,164.29,164.56,164.7,164.77,0.20499999999998408,0,96,2,"['be_stop', 't1', 't2']"
XOM,2022-05-04,161,731,89.7,89.55,89.47,89.83,,0.19000000000001194,0,173,12,"['be_stop', 't1']"
XOM,2022-05-04,274,844,89.96,89.61,89.65,90.09,,0.3299999999999983,0,285,11,"['t1', 'trail_stop']"
CVX,2022-05-04,275,845,164.91,164.3,164.17,,,0.674999999999983,0,282,7,['be_stop']
XOM,2022-05-04,307,877,90.32,89.67,90.24,90.55,90.77,0.3649999999999949,0,333,26,"['stop', 't1', 't2', 'trail_stop']"
CVX,2022-05-04,312,882,164.85,163.7,164.07,164.95,165.01,0.9650000000000034,2,313,1,"['be_stop', 't1']"
CVX,2022-05-05,24,594,168.84,168.03,167.8,,,0.924999999999983,0,32,8,['trail_stop']
LLY,2022-05-05,25,596,294.8,293.39,293.43,294.96,294.99,1.3900000000000432,0,31,6,['stop']
XOM,2022-05-05,66,636,91.83,91.26,91.2,,,0.5999999999999943,0,70,4,['be_stop']
CVX,2022-05-05,234,804,166.97,166.45,166.42,167.01,167.31,0.5349999999999966,2,235,1,"['be_stop', 't1']"
CVX,2022-05-05,287,857,166.97,166.34,166.28,,,0.6599999999999966,0,293,6,['trail_stop']
LLY,2022-05-06,27,597,291.37,290.08,289.4,291.41,291.55,1.6299999999999955,2,29,2,"['be_stop', 't1']"
CVX,2022-05-06,70,640,167.13,166.93,167.02,167.2,167.32,0.15499999999997272,0,72,2,"['be_stop', 't1', 't2']"
DE,2022-05-06,73,643,377.11,374.33,373.93,377.56,377.67,2.980000000000018,0,80,7,"['t1', 't2', 'trail_stop']"
LLY,2022-05-06,77,647,291.2,289.55,288.5,,,2.1750000000000114,0,81,4,['be_stop']
XOM,2022-05-06,84,654,90.58,90.33,90.17,,,0.3299999999999983,0,95,11,['trail_stop']
CAT,2022-05-06,132,702,213.47,213.1,212.91,214.82,215.17,0.4650000000000034,0,163,31,"['be_stop', 't1']"
CVX,2022-05-06,140,710,167.99,167.63,167.63,168.0,168.01,0.36000000000001364,2,141,1,"['be_stop', 't1']"
CAT,2022-05-06,170,740,213.62,213.29,213.02,213.92,214.79,0.4650000000000034,0,178,8,"['be_stop', 't1']"
DE,2022-05-06,167,741,378.2,376.81,377.97,378.68,379.02,0.8100000000000023,2,168,1,"['be_stop', 't1']"
DE,2022-05-06,205,779,378.11,377.42,376.71,378.13,378.14,1.045000000000016,0,209,4,"['be_stop', 't1', 't2']"
CAT,2022-05-06,233,803,214.1,213.6,213.35,214.91,214.92,0.625,0,247,14,['stop']
CVX,2022-05-06,278,848,168.39,168.17,168.33,168.87,169.03,0.13999999999998636,0,280,2,['stop']
LLY,2022-05-06,279,850,292.91,292.38,292.12,293.69,293.85,0.660000000000025,0,288,9,"['t1', 't2', 'trail_stop']"
XOM,2022-05-06,282,852,90.71,90.45,90.66,90.96,90.98,0.15499999999998693,0,329,47,"['stop', 't1', 't2', 'trail_stop']"
XOM,2022-05-06,360,930,90.93,90.66,90.73,90.95,91.0,0.23500000000001364,0,385,25,"['eod', 't1', 't2']"
CVX,2022-05-09,25,595,166.0,164.33,164.31,166.4,166.44,1.6800000000000068,0,52,27,['stop']
LLY,2022-05-09,100,670,290.09,289.45,289.1,290.77,,0.8149999999999977,0,108,8,['stop']
LLY,2022-05-09,133,703,289.86,289.14,288.59,,,0.9950000000000045,0,137,4,['be_stop']
LLY,2022-05-10,21,593,292.62,291.53,292.06,293.02,293.14,0.8250000000000455,2,22,1,"['be_stop', 't1']"
CVX,2022-05-10,25,595,162.64,161.47,161.55,162.78,162.96,1.1299999999999955,2,26,1,"['be_stop', 't1']"
XOM,2022-05-10,29,599,85.72,85.12,85.11,85.86,85.86,0.6049999999999898,2,30,1,"['be_stop', 't1']"
XOM,2022-05-10,83,653,86.03,85.67,85.49,86.65,86.72,0.45000000000000284,0,99,16,['stop']
LLY,2022-05-17,25,595,298.13,295.76,295.01,,,2.7450000000000045,0,51,26,['trail_stop']
XOM,2022-05-17,108,678,91.92,91.79,91.73,91.95,92.02,0.1599999999999966,2,109,1,"['be_stop', 't1']"
XOM,2022-05-17,240,810,91.91,91.75,91.67,92.05,92.08,0.19999999999998863,0,265,25,"['t1', 't2', 'trail_stop']"
LLY,2022-05-17,241,811,300.15,300.02,299.95,300.6,301.15,0.16499999999996362,0,242,1,['stop']
XOM,2022-05-17,317,887,91.9,91.57,91.48,,,0.375,0,324,7,['be_stop']
XOM,2022-05-18,51,621,92.53,92.25,92.21,,,0.30000000000001137,0,58,7,['be_stop']
XOM,2022-05-19,34,604,90.19,89.53,89.48,90.51,90.61,0.6850000000000023,0,39,5,['stop']
XOM,2022-05-19,100,670,90.25,89.88,89.52,,,0.5500000000000114,0,144,44,['trail_stop']
XOM,2022-05-20,21,591,93.0,92.72,92.77,93.18,93.27,0.25499999999999545,2,22,1,"['be_stop', 't1']"
LLY,2022-05-20,105,677,295.77,295.19,295.24,296.7,296.87,0.55499999999995,0,107,2,['stop']
LLY,2022-05-20,172,744,295.75,295.33,295.06,296.21,296.46,0.5550000000000068,0,183,11,['stop']
LLY,2022-05-20,354,926,295.46,295.14,294.98,295.88,296.08,0.39999999999997726,0,383,29,"['eod', 't1', 't2']"
LLY,2022-05-23,21,591,303.72,301.78,301.2,,,2.230000000000018,0,31,10,['be_stop']
XOM,2022-05-23,22,592,93.53,93.26,92.67,,,0.5649999999999977,0,31,9,['be_stop']
LLY,2022-05-23,105,675,303.23,302.53,303.05,303.76,304.08,0.44000000000005457,0,132,27,"['be_stop', 'stop', 't1']"
LLY,2022-05-23,163,733,303.09,302.42,301.84,,,0.9599999999999795,0,167,4,['be_stop']
XOM,2022-05-23,325,895,94.05,94.01,93.99,94.19,94.19,0.04999999999999716,0,327,2,['stop']
LLY,2022-05-24,27,597,304.79,304.0,303.11,,,1.2350000000000136,0,43,16,['trail_stop']
XOM,2022-05-24,30,600,94.24,93.92,93.85,,,0.355000000000004,0,31,1,['be_stop']
XOM,2022-05-24,174,744,93.37,93.2,93.3,93.41,93.42,0.12000000000000455,0,176,2,"['be_stop', 't1', 't2']"
CVX,2022-05-25,20,590,175.11,174.34,174.16,,,0.8600000000000136,0,36,16,['trail_stop']
LLY,2022-05-25,22,592,307.0,305.19,306.67,307.67,307.72,1.0699999999999932,0,38,16,"['stop', 't1', 't2', 'trail_stop']"
LLY,2022-05-25,68,638,309.4,308.15,307.52,309.83,310.17,1.5649999999999977,0,96,28,['stop']
XOM,2022-05-25,88,658,95.91,95.67,95.43,96.02,96.06,0.3599999999999852,0,91,3,"['be_stop', 't1']"
XOM,2022-05-25,268,838,95.77,95.63,95.63,95.86,95.86,0.14000000000000057,2,270,2,"['be_stop', 't1']"
CVX,2022-05-25,313,883,174.95,174.61,174.67,175.0,175.0,0.3100000000000023,1,321,8,"['be_stop', 'stop', 't1']"
CVX,2022-05-26,21,591,176.97,175.86,175.65,,,1.2150000000000034,0,37,16,['be_stop']
XOM,2022-05-26,22,592,97.4,97.18,96.94,,,0.3400000000000034,0,28,6,['be_stop']
CVX,2022-05-26,54,624,176.55,176.39,176.31,176.81,176.91,0.20000000000001705,0,64,10,"['be_stop', 'stop', 't1']"
XOM,2022-05-26,65,635,97.12,96.94,96.66,97.17,,0.3200000000000074,1,91,26,"['be_stop', 'stop', 't1']"
LLY,2022-05-26,155,725,309.5,307.81,307.91,309.85,309.9,1.6399999999999864,2,163,8,"['be_stop', 't1']"
CVX,2022-05-26,191,761,176.75,176.45,176.43,,,0.3100000000000023,0,196,5,['be_stop']
LLY,2022-05-26,205,775,309.83,308.92,308.95,309.99,310.06,0.8949999999999818,0,225,20,"['t1', 't2', 'trail_stop']"
CVX,2022-05-26,313,883,176.94,176.66,176.86,177.09,177.14,0.18000000000000682,0,331,18,"['stop', 't1', 't2', 'trail_stop']"
CVX,2022-05-26,350,920,177.04,176.76,176.84,177.19,177.25,0.23999999999998067,0,380,30,"['stop', 't1', 't2', 'trail_stop']"
CVX,2022-05-27,20,590,177.67,177.2,176.45,,,0.8449999999999989,0,24,4,['be_stop']
XOM,2022-05-27,20,590,96.74,95.64,95.63,,,1.105000000000004,0,30,10,['trail_stop']
LLY,2022-05-27,21,591,315.48,313.66,313.22,315.71,315.71,2.0399999999999636,0,23,2,"['be_stop', 't1', 't2']"
CVX,2022-05-27,56,626,177.25,176.97,176.77,177.53,177.55,0.37999999999999545,0,62,6,['stop']
CVX,2022-05-27,146,716,177.31,177.19,177.04,177.31,177.31,0.19499999999999318,0,155,9,"['t1', 't2', 'trail_stop']"
XOM,2022-05-31,20,590,99.57,99.08,98.95,,,0.5549999999999926,0,34,14,['be_stop']
CVX,2022-05-31,22,592,180.43,179.79,180.13,180.65,180.73,0.4700000000000273,0,28,6,"['t1', 't2', 'trail_stop']"
XOM,2022-05-31,89,659,99.37,99.2,99.05,99.38,,0.24500000000000455,1,92,3,"['be_stop', 'stop', 't1']"
LLY,2022-05-31,218,789,313.1,312.85,312.73,313.44,313.78,0.3100000000000023,0,219,1,['stop']
LLY,2022-05-31,253,824,313.05,312.76,312.89,313.19,313.46,0.22500000000002274,0,255,2,['stop']
FANG,2022-06-01,20,590,155.81,154.89,154.89,156.0,156.39,0.9200000000000159,0,30,10,['stop']
LLY,2022-06-01,62,632,310.11,308.46,308.27,310.72,311.28,1.7450000000000045,0,139,77,['stop']
CVX,2022-06-01,293,863,176.6,176.28,176.39,176.72,176.74,0.2650000000000148,0,302,9,"['t1', 't2', 'trail_stop']"
FANG,2022-06-01,293,863,153.88,153.44,153.65,153.89,154.12,0.33499999999997954,0,302,9,"['t1', 't2', 'trail_stop']"
CVX,2022-06-01,329,899,176.53,176.36,176.38,176.73,176.78,0.1599999999999966,0,348,19,"['t1', 't2', 'trail_stop']"
XOM,2022-06-01,330,900,97.85,97.75,97.73,97.95,97.97,0.10999999999998522,0,345,15,"['t1', 't2', 'trail_stop']"
FANG,2022-06-01,331,901,153.86,153.7,153.8,154.01,154.02,0.11000000000001364,0,333,2,['stop']
CVX,2022-06-02,36,606,175.4,174.62,174.61,175.44,175.5,0.7849999999999966,2,44,8,"['be_stop', 't1']"
FANG,2022-06-02,78,648,152.64,152.14,152.44,152.87,152.93,0.3499999999999943,0,83,5,"['be_stop', 't1', 't2']"
LLY,2022-06-02,154,724,302.1,301.79,301.63,302.7,302.7,0.38999999999998636,0,158,4,['stop']
XOM,2022-06-02,178,748,97.73,97.51,97.61,97.75,97.75,0.1700000000000017,0,192,14,"['t1', 't2', 'trail_stop']"
FANG,2022-06-02,275,845,153.68,153.44,153.21,153.81,153.86,0.3550000000000182,0,277,2,"['be_stop', 't1']"
CVX,2022-06-03,21,591,177.36,176.43,176.55,177.64,177.71,0.8700000000000045,0,35,14,"['t1', 't2', 'trail_stop']"
XOM,2022-06-03,22,592,99.16,98.51,98.31,99.19,,0.75,0,33,11,"['t1', 'trail_stop']"
LLY,2022-06-03,22,594,303.63,302.83,302.64,303.63,303.63,0.8949999999999818,2,25,3,"['be_stop', 't1']"
ON,2022-06-03,24,594,61.97,61.42,61.65,61.99,62.02,0.4350000000000023,2,25,1,"['be_stop', 't1']"
FANG,2022-06-03,28,598,154.68,154.01,153.73,154.82,,0.8100000000000023,0,40,12,"['t1', 'trail_stop']"
LLY,2022-06-03,55,627,304.45,303.72,304.04,304.63,304.87,0.5699999999999932,0,67,12,['stop']
XOM,2022-06-03,63,633,99.18,98.78,99.12,99.24,99.43,0.23000000000000398,0,70,7,['stop']
CVX,2022-06-03,64,634,177.45,176.82,177.38,177.85,177.85,0.3499999999999943,0,68,4,['stop']
ON,2022-06-03,74,644,62.18,61.98,61.89,62.41,62.44,0.24499999999999744,0,80,6,"['t1', 't2', 'trail_stop']"
ON,2022-06-03,123,693,62.16,61.87,61.98,,,0.23499999999999943,0,131,8,['trail_stop']
CVX,2022-06-03,149,719,177.46,177.32,177.25,177.59,177.7,0.17500000000001137,0,160,11,"['t1', 't2', 'trail_stop']"
ON,2022-06-03,174,744,62.29,61.92,61.95,62.42,62.42,0.3549999999999969,0,183,9,"['be_stop', 't1', 't2']"
FANG,2022-06-03,202,773,154.62,154.17,154.15,154.69,155.12,0.46000000000000796,0,207,5,"['be_stop', 't1']"
CVX,2022-06-03,235,805,177.87,177.48,177.81,177.92,178.01,0.22500000000002274,0,251,16,['stop']
FANG,2022-06-03,246,817,154.42,154.18,154.29,154.44,154.65,0.18499999999997385,2,247,1,"['be_stop', 't1']"
XOM,2022-06-06,20,590,99.74,99.21,99.25,,,0.5100000000000051,0,23,3,['be_stop']
ON,2022-06-06,31,601,66.06,65.35,64.06,66.21,,1.355000000000004,2,33,2,"['be_stop', 't1']"
