window,cell,entry_date,exit_date,ticker,entry,stop,exit,realized,R,hold_days,reasons,sic2,group_n,group_rank,group_N,leader_rank_1m,leader_N_1m,leader_rank_3m,leader_N_3m,leader_rank_6m,leader_N_6m,etf,etf_rank,etf_N,dvol20,adr20
primary,A0,2019-01-17,2019-01-22,XLNX,92.6,89.76,89.6712,-410.07,-1.032,5,stop,36,30.0,4.0,16.0,301.0,581,17.0,579,13.0,578,XLK,9.0,11.0,229170201.53350002,0.036430087914085876
primary,A0,2019-01-25,2019-01-31,DATA,128.3,123.64,124.1158,-355.5,-0.898,6,partial;stop,73,58.0,1.0,12.0,339.0,437,22.0,436,45.0,435,XLK,10.0,11.0,135122982.9325,0.0362887234076756
primary,A0,2019-01-30,2019-02-05,WWE,83.59,81.0,82.5873,-153.95,-0.388,6,partial;stop,78,2.0,,,165.0,325,104.0,325,91.0,323,XLC,8.0,11.0,70580919.214,0.03415529267850111
primary,A0,2019-02-04,2019-02-06,SAVE,62.29,61.08,59.8901,-574.12,-1.982,2,stop,45,7.0,,,258.0,317,80.0,315,20.0,313,XLI,2.0,11.0,68064172.69350001,0.03759744228527416
primary,A0,2019-02-04,2019-02-07,NWL,21.75,21.15,21.1297,-411.75,-1.035,3,stop,30,3.0,,,154.0,317,21.0,315,227.0,313,XLB,3.0,11.0,102979567.33,0.03244623172928059
primary,A0,2019-02-11,2019-02-14,CZR,9.41,9.26,9.2507,-210.22,-1.062,3,stop,70,3.0,,,34.0,271,133.0,269,110.0,265,XLY,6.0,11.0,303841450.7,0.029946929235478637
primary,A0,2019-02-12,2019-02-14,NFLX,36.04,34.93,34.8973,-203.83,-1.032,2,stop,78,2.0,,,133.0,264,94.0,262,88.0,258,XLC,4.0,11.0,4023280171.5994997,0.03062965509576554
primary,A0,2019-02-12,2019-02-15,LULU,152.96,150.57,150.4194,-208.59,-1.063,3,stop,23,2.0,,,66.0,264,98.0,262,45.0,258,XLY,6.0,11.0,317723793.844,0.024647096925702147
primary,A0,2019-02-12,2019-02-19,URI,131.13,129.2,131.7978,68.02,0.345,7,partial;stop,73,44.0,1.0,6.0,118.0,264,131.0,262,161.0,258,XLK,7.0,11.0,218568235.7,0.02974977797186907
primary,A0,2019-02-15,2019-02-19,NFLX,36.08,35.55,35.5144,-210.21,-1.067,4,stop,78,2.0,,,188.0,261,60.0,259,71.0,255,XLC,3.0,11.0,3743367942.7419996,0.03163459743563277
primary,A0,2019-02-15,2019-02-19,CZR,9.63,9.39,9.3107,-266.63,-1.353,4,stop,70,3.0,,,134.0,261,93.0,259,109.0,255,XLY,5.0,11.0,294433440.0545,0.024479283191219944
primary,A0,2019-02-20,2019-02-21,EBAY,37.17,36.69,36.5934,-226.64,-1.19,1,stop,73,45.0,1.0,5.0,34.0,246,32.0,244,65.0,240,XLI,1.0,11.0,585146047.6270001,0.024203456725132806
primary,A0,2019-02-20,2019-02-21,ALXN,129.91,128.45,128.3216,-177.88,-1.088,1,stop,28,27.0,3.0,5.0,84.0,246,119.0,244,64.0,240,XLV,7.0,11.0,213867336.55800003,0.02504130799164251
primary,A0,2019-02-08,2019-02-22,FIVE,127.77,124.73,128.222,29.53,0.15,14,partial;stop,53,4.0,,,173.0,277,91.0,275,30.0,271,XLY,6.0,11.0,107816069.54200001,0.030101223662641518
primary,A0,2019-02-20,2019-02-22,HES,58.29,57.35,57.2927,-249.89,-1.061,2,stop,29,4.0,,,96.0,246,154.0,244,143.0,240,XLE,9.0,11.0,215404035.398,0.03106895837647569
primary,A0,2019-02-22,2019-02-25,SPOT,150.01,148.8,148.6512,-131.79,-1.123,3,stop,48,8.0,,,93.0,228,102.0,227,164.0,223,XLC,6.0,11.0,283141107.008,0.03212008881036375
primary,A0,2019-02-22,2019-02-26,NXPI,95.09,93.97,93.876,-186.5,-1.084,4,stop,36,22.0,2.0,5.0,41.0,228,99.0,227,68.0,223,XLK,5.0,11.0,450231208.2375,0.025245825098850067
primary,A0,2019-02-25,2019-02-26,NFLX,36.74,36.38,36.2617,-189.92,-1.327,1,stop,78,2.0,,,89.0,225,44.0,225,64.0,221,XLC,4.0,11.0,2952480014.104,0.027594588851475976
primary,A0,2019-02-25,2019-02-28,SQ,78.23,76.78,75.8441,-445.82,-1.646,3,stop,73,41.0,1.0,5.0,112.0,225,83.0,225,84.0,221,XLK,1.0,11.0,948456824.867,0.03352166335432417
primary,A0,2019-02-27,2019-02-28,HES,58.98,57.8,57.7422,-204.06,-1.049,1,stop,29,4.0,,,87.0,209,125.0,209,117.0,205,XLE,10.0,11.0,199146819.828,0.029195868994925128
primary,A0,2019-01-31,2019-03-04,WDAY,180.68,179.29,182.4295,143.42,1.258,32,partial;stop,73,49.0,2.0,8.0,251.0,338,8.0,337,20.0,335,XLK,9.0,11.0,338241527.8645,0.029268676478485252
primary,A0,2019-03-01,2019-03-04,NOW,48.51,47.86,47.8101,-208.7,-1.073,3,stop,73,40.0,1.0,4.0,22.0,223,22.0,223,28.0,219,XLK,2.0,11.0,544735737.0215,0.025459910584066492
primary,A0,2019-03-01,2019-03-04,ALGN,263.9,258.96,258.701,-202.9,-1.052,3,stop,38,9.0,,,59.0,223,85.0,223,187.0,219,XLV,8.0,11.0,302157652.09900004,0.027898691877585514
primary,A0,2019-03-05,2019-03-06,MRO,17.49,17.15,17.1328,-295.04,-1.051,1,stop,13,21.0,5.0,5.0,65.0,234,116.0,232,163.0,228,XLE,8.0,11.0,227142501.72650003,0.02928501830356515
primary,A0,2019-03-11,2019-03-15,DOCU,56.95,56.11,57.1495,46.81,0.241,4,partial;stop,73,45.0,2.0,4.0,44.0,247,26.0,245,120.0,241,XLK,3.0,11.0,107612822.33900002,0.024832569121568067
primary,A0,2019-03-11,2019-03-15,MLNX,119.07,117.88,117.7621,-159.43,-1.099,4,stop,36,15.0,1.0,4.0,38.0,247,74.0,245,10.0,241,XLK,3.0,11.0,107181903.234,0.024750569516334177
primary,A0,2019-03-19,2019-03-20,MRVL,20.39,20.01,19.99,-285.47,-1.053,1,stop,36,12.0,1.0,4.0,81.0,229,54.0,226,53.0,220,XLK,1.0,11.0,222279060.48499998,0.025246597872773512
primary,A0,2019-03-18,2019-03-22,ECA,7.43,7.28,7.2727,-303.52,-1.049,4,stop,13,19.0,4.0,4.0,39.0,229,98.0,226,206.0,220,XLE,8.0,11.0,224290646.7005,0.035312799401979865
primary,A0,2019-03-26,2019-03-27,HES,61.05,60.16,60.0998,-206.4,-1.068,1,stop,29,2.0,,,72.0,252,62.0,250,132.0,244,XLE,4.0,11.0,208360564.204,0.02698717781167772
primary,A0,2019-03-29,2019-04-03,HES,61.65,60.11,60.0499,-200.21,-1.039,5,stop,29,3.0,,,65.0,248,31.0,246,138.0,241,XLE,5.0,11.0,195391491.52350003,0.026855326469094436
primary,A0,2019-03-29,2019-04-04,FCX,13.16,12.77,13.0569,-52.9,-0.273,6,partial;stop,10,5.0,,,142.0,248,109.0,246,127.0,241,XLB,8.0,11.0,190677000.5375,0.029510674524271634
primary,A0,2019-02-27,2019-04-22,MELI,408.41,405.01,485.4934,2697.99,22.686,54,close<MA;partial,73,41.0,1.0,4.0,93.0,209,94.0,209,62.0,205,XLI,2.0,11.0,175503623.396,0.031023583418072785
primary,A0,2019-04-05,2019-04-26,SWKS,86.98,85.73,87.2029,35.25,0.182,21,partial;stop,36,17.0,1.0,4.0,93.0,216,56.0,216,110.0,210,XLK,1.0,11.0,136694309.9885,0.02516886808137133
primary,A0,2019-04-05,2019-04-29,HES,61.99,60.87,63.6953,294.68,1.518,24,close<MA;partial,29,3.0,,,72.0,216,53.0,216,148.0,210,XLE,7.0,11.0,174914365.3625,0.026167490577805264
primary,A0,2019-04-30,2019-05-01,ACB,1117.12,1084.17,1083.0901,-408.31,-1.033,1,stop,28,22.0,5.0,5.0,102.0,192,36.0,192,60.0,190,XLV,11.0,11.0,164647381.64512548,0.029488187231197883
primary,A0,2019-04-23,2019-05-02,VEEV,137.4,133.95,137.8976,53.04,0.145,9,partial;stop,73,44.0,2.0,4.0,57.0,178,40.0,177,23.0,173,XLK,1.0,11.0,136211077.764,0.027364548249508663
primary,A0,2019-04-23,2019-05-06,CYBR,125.33,121.54,125.88,57.14,0.147,13,partial;stop,73,44.0,2.0,4.0,62.0,178,8.0,177,5.0,173,XLK,1.0,11.0,109409334.602,0.03453576414484039
primary,A0,2019-05-03,2019-05-06,VEEV,142.35,140.56,137.9819,-454.51,-2.439,3,stop,73,43.0,2.0,5.0,31.0,217,27.0,215,21.0,214,XLK,1.0,11.0,140660183.551,0.02728385705644922
primary,A0,2019-05-03,2019-05-06,RNG,117.58,115.22,115.0349,-317.83,-1.079,3,stop,73,43.0,2.0,5.0,58.0,217,33.0,215,27.0,214,XLK,1.0,11.0,99774925.66849999,0.02814471294014743
primary,A0,2019-04-03,2019-05-10,LRCX,18.81,18.62,19.6152,617.08,4.173,37,close<MA;partial,35,8.0,,,89.0,223,63.0,222,29.0,217,XLI,2.0,11.0,400164322.484,0.026796326528565888
primary,A0,2019-04-23,2019-05-13,DELL,32.76,31.98,33.1412,168.32,0.478,20,partial;stop,35,6.0,,,58.0,178,13.0,177,,173,XLK,1.0,11.0,99592064.18515259,0.024082066884704347
primary,A0,2019-05-09,2019-05-13,PAYC,208.42,202.62,202.4151,-396.21,-1.035,4,stop,73,46.0,2.0,5.0,26.0,254,42.0,252,14.0,251,XLK,1.0,11.0,132390038.052,0.027831038173923194
primary,A0,2019-05-10,2019-05-13,ZS,70.06,68.23,68.166,-392.06,-1.037,3,stop,73,48.0,2.0,6.0,59.0,269,15.0,267,9.0,266,XLK,1.0,11.0,111842576.5095,0.04446320705365598
primary,A0,2019-05-10,2019-05-13,SAFM,154.45,149.98,149.8341,-401.53,-1.034,3,stop,20,1.0,,,14.0,269,41.0,267,38.0,266,XLP,5.0,11.0,71248941.0375,0.028910852399954452
primary,A0,2019-05-28,2019-05-29,OKTA,112.05,107.93,107.0928,-228.12,-1.204,1,stop,73,58.0,1.0,7.0,33.0,298,13.0,293,4.0,291,XLK,5.0,11.0,193897645.6845,0.036762091403393336
primary,A0,2019-06-07,2019-06-14,MELI,612.57,590.67,616.3083,29.93,0.171,7,partial;stop,73,62.0,1.0,5.0,43.0,299,27.0,294,27.0,292,XLI,9.0,11.0,350461395.2595,0.03573952189330767
primary,A0,2019-06-18,2019-06-19,MTCH,73.75,71.58,71.5084,-395.17,-1.033,1,stop,73,55.0,1.0,5.0,111.0,244,16.0,239,26.0,236,XLK,6.0,11.0,94403184.70099999,0.030018431531126953
primary,A0,2019-06-20,2019-06-21,WIX,149.14,146.7,146.5533,-248.23,-1.06,1,stop,73,56.0,1.0,5.0,89.0,255,29.0,249,31.0,246,XLK,4.0,11.0,68623124.4365,0.027992959157111398
primary,A0,2019-06-04,2019-06-27,MKTX,299.3,294.0,317.0706,622.01,3.354,23,close<MA;partial,62,2.0,,,38.0,304,14.0,299,41.0,297,XLF,6.0,11.0,123066058.25249998,0.024369609856412778
primary,A0,2019-07-08,2019-07-09,SNAP,15.3,15.01,14.995,-286.72,-1.051,1,stop,73,43.0,1.0,4.0,30.0,206,17.0,201,6.0,200,XLK,3.0,11.0,335186661.871,0.03536453718531386
primary,A0,2019-07-03,2019-07-10,SBGI,55.95,54.92,54.8651,-274.53,-1.054,7,stop,48,7.0,,,173.0,235,10.0,230,16.0,228,XLC,4.0,11.0,84773405.72,0.03068651051360133
primary,A0,2019-07-10,2019-07-16,VEEV,173.82,171.96,171.788,-166.92,-1.092,6,stop,73,44.0,1.0,4.0,76.0,204,19.0,198,25.0,197,XLK,5.0,11.0,255888074.76500002,0.027393745161766535
primary,A0,2019-07-15,2019-07-16,OKTA,137.94,134.37,134.2356,-385.03,-1.038,1,stop,73,40.0,1.0,4.0,102.0,198,11.0,191,17.0,190,XLK,2.0,11.0,253135229.38450003,0.0334849214090996
primary,A0,2019-07-08,2019-07-19,PAYC,239.57,236.4,238.8609,-41.8,-0.224,11,partial;stop,73,43.0,1.0,4.0,56.0,206,25.0,201,25.0,200,XLK,3.0,11.0,150756644.7575,0.02822000314849889
primary,A0,2019-07-22,2019-07-23,DXCM,39.04,38.13,38.0944,-200.67,-1.042,1,stop,38,4.0,,,111.0,186,14.0,180,109.0,177,XLV,1.0,11.0,132204046.45749998,0.03331658821619256
primary,A0,2019-07-10,2019-07-24,MKTX,344.95,343.95,348.663,152.04,3.691,14,partial;stop,62,2.0,,,115.0,204,14.0,198,38.0,197,XLF,3.0,11.0,244326617.8025,0.026523294588478
primary,A0,2019-07-19,2019-07-25,GOLD,17.37,17.03,17.2727,-55.9,-0.291,6,partial;stop,50,2.0,,,10.0,192,21.0,184,39.0,183,XLI,10.0,11.0,295557213.09000003,0.03260513444147656
primary,A0,2019-07-24,2019-07-29,ZS,85.59,82.94,82.86,-392.48,-1.031,5,stop,73,40.0,1.0,4.0,43.0,182,21.0,176,14.0,174,XLK,5.0,11.0,176933489.977,0.03354540264905086
primary,A0,2019-07-25,2019-07-29,AYX,121.62,119.55,119.4304,-256.35,-1.058,4,stop,73,37.0,1.0,4.0,33.0,182,13.0,176,25.0,173,XLK,3.0,11.0,134132744.677,0.031753876699700465
primary,A0,2019-07-30,2019-07-31,AYX,123.12,119.0,118.881,-190.89,-1.029,1,stop,73,39.0,1.0,4.0,35.0,178,14.0,172,15.0,169,XLK,2.0,11.0,123536359.59250002,0.03350319316933544
primary,A0,2019-07-08,2019-08-01,PAGS,40.86,40.22,43.5763,942.27,4.237,24,close<MA;partial,73,43.0,1.0,4.0,20.0,206,13.0,201,19.0,200,XLK,3.0,11.0,71759498.6895,0.03194294327092596
primary,A0,2019-07-30,2019-08-01,DXCM,39.29,38.06,38.0199,-192.95,-1.031,2,stop,38,7.0,,,80.0,178,25.0,172,85.0,169,XLV,5.0,11.0,109355436.24949999,0.03134022528553167
primary,A0,2019-08-01,2019-08-02,SQ,82.74,80.69,70.7292,-2030.27,-5.841,1,stop,73,43.0,1.0,4.0,36.0,196,60.0,189,75.0,186,XLK,4.0,11.0,557423726.0109999,0.02485612180374131
primary,A0,2019-08-01,2019-08-02,OLED,217.55,212.29,212.0731,-350.35,-1.04,1,stop,36,12.0,2.0,4.0,33.0,196,11.0,189,5.0,186,XLK,4.0,11.0,114572261.28050001,0.024187735761008064
primary,A0,2019-08-05,2019-08-06,GOLD,17.52,17.44,17.4263,-71.17,-1.236,1,stop,50,3.0,,,44.0,260,12.0,253,45.0,248,XLI,10.0,11.0,272855146.3835,0.029136229896869432
primary,A0,2019-08-08,2019-08-12,STNE,37.61,35.78,35.1648,-241.83,-1.337,4,stop,73,60.0,1.0,7.0,22.0,325,34.0,319,23.0,313,XLK,5.0,11.0,102029217.61649999,0.05165307367076235
primary,A0,2019-08-21,2019-08-23,BX,49.86,49.25,49.2007,-181.24,-1.081,2,stop,62,10.0,6.0,10.0,107.0,419,68.0,414,35.0,407,XLF,10.0,11.0,299596222.424,0.028688973207793143
primary,A0,2019-08-22,2019-08-23,KLAC,14.41,14.13,14.1139,-192.39,-1.05,1,stop,38,18.0,2.0,7.0,111.0,399,34.0,394,83.0,387,XLV,7.0,11.0,212549847.19099998,0.028683069925143495
primary,A0,2019-08-27,2019-08-28,COUP,145.99,141.1,140.9589,-186.0,-1.029,1,stop,73,77.0,5.0,9.0,108.0,403,45.0,399,24.0,392,XLK,2.0,11.0,144103350.091,0.03739944475193547
primary,A0,2019-08-29,2019-09-03,BX,50.13,49.27,49.2207,-191.87,-1.057,5,stop,62,10.0,6.0,11.0,86.0,386,44.0,382,27.0,375,XLF,10.0,11.0,275436554.279,0.026582822364919673
primary,A0,2019-08-30,2019-09-03,MU,45.5,45.05,44.5554,-282.01,-2.11,4,stop,36,23.0,1.0,6.0,104.0,346,29.0,342,102.0,335,XLK,1.0,11.0,964797561.9335,0.03384882201669927
primary,A0,2019-09-04,2019-09-05,RGLD,138.35,135.51,135.3745,-190.32,-1.048,1,stop,67,2.0,,,18.0,303,14.0,301,21.0,292,XLRE,1.0,11.0,82805708.515,0.029973544641930555
primary,A0,2019-08-16,2019-09-06,DXCM,40.37,39.63,41.066,173.77,0.959,21,partial;stop,38,21.0,2.0,8.0,43.0,421,28.0,415,125.0,408,XLV,6.0,11.0,136427857.92249998,0.0366169184373552
primary,A0,2019-08-26,2019-09-06,FNV,97.1,95.75,97.5037,54.9,0.302,11,partial;stop,10,10.0,1.0,9.0,48.0,413,36.0,409,62.0,402,XLB,6.0,11.0,61198663.25699999,0.026951193756260754
primary,A0,2019-09-30,2019-10-01,NWL,18.86,18.59,18.5714,-213.27,-1.069,1,stop,30,2.0,,,58.0,299,22.0,299,56.0,290,XLB,9.0,11.0,79551300.2335,0.026810515466404717
primary,A0,2019-08-29,2019-10-09,KLAC,14.58,14.51,15.6143,965.51,14.546,41,close<MA;partial,38,16.0,3.0,11.0,69.0,386,28.0,382,72.0,375,XLV,7.0,11.0,220058069.29099998,0.02959381738383845
primary,A0,2019-10-15,2019-10-16,KLAC,16.28,15.96,15.942,-299.11,-1.049,1,stop,38,10.0,1.0,6.0,31.0,241,9.0,240,27.0,231,XLV,7.0,11.0,229389376.78999996,0.02428970015413307
primary,A0,2019-10-16,2019-10-17,JWN,35.67,34.63,34.5979,-390.8,-1.034,1,stop,56,5.0,,,74.0,233,18.0,232,148.0,223,XLY,10.0,11.0,94132567.7015,0.03292358403617323
primary,A0,2019-10-07,2019-10-18,DOCU,65.14,62.69,65.7312,91.2,0.244,11,partial;stop,73,71.0,4.0,8.0,2.0,338,20.0,338,61.0,328,XLK,4.0,11.0,268143622.16149998,0.037482958273112335
primary,A0,2019-09-05,2019-10-21,TER,54.41,54.25,59.4821,1269.15,32.657,46,close<MA;partial,38,10.0,2.0,6.0,100.0,286,48.0,284,47.0,275,XLV,9.0,11.0,93344342.0805,0.025531180549662396
primary,A0,2019-10-21,2019-10-28,PVH,89.79,88.47,89.9878,31.11,0.15,7,partial;stop,23,3.0,,,65.0,232,69.0,230,198.0,225,XLY,7.0,11.0,85299687.578,0.02645402635737994
primary,A0,2019-10-21,2019-10-30,JWN,35.86,35.01,36.2275,146.81,0.439,9,partial;stop,56,5.0,,,23.0,232,18.0,230,151.0,225,XLY,7.0,11.0,87295422.365,0.032810528204586444
primary,A0,2019-10-23,2019-10-30,SEDG,90.59,86.97,86.883,-389.28,-1.024,7,stop,36,18.0,3.0,5.0,112.0,230,5.0,228,6.0,223,XLK,9.0,11.0,110927036.432,0.04045913482766601
primary,A0,2019-10-23,2019-10-30,APO,40.93,39.88,40.9072,-8.24,-0.023,7,partial;stop,62,7.0,,,87.0,230,34.0,228,33.0,223,XLF,5.0,11.0,80183260.893,0.028691037263158976
primary,A0,2019-10-10,2019-10-31,MDCO,51.98,50.14,52.1792,40.25,0.107,21,partial;stop,28,23.0,4.0,6.0,10.0,263,6.0,263,4.0,253,XLV,10.0,11.0,104496553.8915,0.03537645843150314
primary,A0,2019-09-06,2019-11-04,RH,149.91,145.08,175.4747,1917.37,5.298,59,close<MA;partial,57,3.0,,,80.0,273,7.0,271,121.0,261,XLY,3.0,11.0,86533888.82000001,0.032190373695648984
