ticker,start,peak,year,raw_trough,gain_x,ndays,cum_dvol,shares,mcap,k,so_end
SSH,2012-07-05,2012-07-10,2012,3.01,4.418604651162791,4,30150757.048100002,6277538.0,18895389.38,1.5956674108030477,2012-06-30
USU,2013-07-15,2013-07-22,2013,3.73,4.115281501340482,6,53411318.4087,4960046.48,18500973.3704,2.8869463967854583,2013-04-30
DGLY,2014-08-15,2014-08-29,2014,3.35,5.570149253731343,11,1292665500.6284401,2706791.0,9067749.85,142.55636977330602,2014-08-14
NERV,2016-05-25,2016-06-02,2016,3.54,4.048022598870056,6,619222369.6238999,27942145.0,98915193.3,6.260134049840652,2016-04-28
DRYS,2016-11-09,2016-11-15,2016,5.1,14.313725490196079,5,1174019949.2096715,496851.68333333335,2533943.585,463.317319359212,2016-06-30
SGY,2017-02-23,2017-03-01,2017,6.21,4.188405797101449,5,43531434.29359999,5679765.0,35271340.65,1.234187118815967,2017-02-23
PETZ,2017-09-21,2017-10-03,2017,6.41,4.444617784711388,9,30191757.697400004,7900000.0,50639000.0,0.5962155196074173,2016-12-31
SIEB,2017-12-12,2017-12-20,2017,4.75,4.2105263157894735,7,203262068.9593,22085126.0,104904348.5,1.9375943120155787,2017-11-08
NETE,2017-12-15,2017-12-20,2017,4.5,4.308888888888889,4,440635940.09339994,2454457.0,11045056.5,39.89440344586738,2017-11-11
RKDA,2018-03-08,2018-03-14,2018,6.2800012275,7.641718181097282,5,585136356.8308583,2136031.0,13414277.301978052,43.620416043179226,2018-03-01
GEVO,2018-06-08,2018-06-19,2018,3.43,5.685131195335277,8,683934861.6789,1209717.6500000001,4149331.539500001,164.83013111102588,2018-04-30
TA,2019-07-25,2019-08-01,2019,3.49,4.70487106017192,6,1754481.4536,8087000.0,28223630.0,0.06216356484265135,2019-06-30
FRAN,2019-09-05,2019-09-13,2019,4.26,4.258215962441315,7,490122949.5366,3056042.0,13018738.92,37.64749816002916,2019-08-30
