dir,R,risk,entry,exit_m,reason,date
1,2.0,0.10000000000000142,36.93,639,target,2004-01-29
1,-1.0,0.0799999999999983,36.69,618,stop,2004-02-23
1,2.0,0.08099999999999596,34.251,641,target,2004-03-22
-1,-1.0,0.09199999999999875,35.828,677,stop,2004-03-29
1,2.0,0.09600000000000364,35.706,621,target,2004-03-31
1,-1.0,0.07499999999999574,37.095,669,stop,2004-04-08
1,-1.0,0.08099999999999596,36.971,630,stop,2004-04-13
-1,-1.0,0.11599999999999966,36.714,637,stop,2004-04-14
1,2.0,0.11999999999999744,35.91,669,target,2004-04-16
1,-1.0,0.1109999999999971,36.421,682,stop,2004-04-28
-1,2.0,0.17300000000000182,35.467,591,target,2004-05-07
1,2.0,0.10300000000000153,34.743,654,target,2004-05-14
1,-1.0,0.0799999999999983,36.33,621,stop,2004-06-02
1,-1.0,0.059000000000004604,36.389,613,stop,2004-06-17
-1,-1.0,0.07600000000000051,36.63,618,stop,2004-06-18
-1,-1.0,0.04999999999999716,37.34,630,stop,2004-06-29
1,-1.0,0.0519999999999996,37.362,625,stop,2004-07-01
1,-1.0,0.07000000000000028,36.7,597,stop,2004-07-02
1,-1.0,0.09700000000000131,36.4,602,stop,2004-07-06
-1,2.0,0.03399999999999892,36.216,639,target,2004-07-07
1,-1.0,0.0799999999999983,35.35,635,stop,2004-07-12
-1,-1.0,0.044000000000004036,33.406,630,stop,2004-08-18
-1,-1.0,0.04899999999999949,34.261,627,stop,2004-09-01
-1,-1.0,0.04999999999999716,34.39,635,stop,2004-09-02
-1,-1.0,0.0800000000000054,35.44,629,stop,2004-09-16
1,-1.0,0.07000000000000028,35.2,645,stop,2004-09-22
-1,-1.0,0.060000000000002274,34.76,630,stop,2004-09-29
-1,2.0,0.1110000000000042,35.159,699,target,2004-09-30
-1,-1.0,0.08300000000000551,35.797,653,stop,2004-10-01
-1,-1.0,0.0799999999999983,36.54,613,stop,2004-10-04
-1,-1.0,0.10999999999999943,37.12,600,stop,2004-10-29
-1,-1.0,0.07600000000000051,37.374,630,stop,2004-11-02
1,-0.5535714285714332,0.11199999999999477,37.562,720,time,2004-11-03
1,0.7391304347825057,0.06900000000000261,38.389,720,time,2004-11-16
-1,-1.0,0.09000000000000341,39.15,653,stop,2004-11-17
1,-1.0,0.10999999999999943,39.11,612,stop,2004-11-19
1,2.0,0.0899999999999963,54.91,662,target,2011-03-23
1,2.0,0.10999999999999943,55.93,635,target,2011-03-24
-1,-1.0,0.060000000000002274,56.73,615,stop,2011-03-29
1,-1.0,0.060000000000002274,57.28,658,stop,2011-04-04
-1,2.0,0.10999999999999943,57.49,637,target,2011-04-07
1,0.5490000000000272,0.10000000000000142,57.18,720,time,2011-04-08
1,-1.0,0.03999999999999915,56.87,617,stop,2011-04-11
1,-1.0,0.0800000000000054,55.52,605,stop,2011-04-18
-1,-1.0,0.054999999999999716,57.865,634,stop,2011-04-20
-1,2.0,0.05999999999999517,58.67,614,target,2011-05-05
1,2.0,0.11999999999999744,58.36,609,target,2011-05-12
-1,2.0,0.0899999999999963,55.06,636,target,2011-06-15
1,-1.0,0.07499999999999574,54.05,662,stop,2011-06-17
-1,-1.0,0.054999999999999716,54.67,624,stop,2011-06-21
1,-1.0,0.08500000000000085,54.71,626,stop,2011-06-24
-1,2.0,0.060000000000002274,56.9,647,target,2011-06-30
1,2.0,0.14000000000000057,57.63,605,target,2011-07-12
1,2.0,0.0799999999999983,57.39,644,target,2011-07-15
1,-1.0,0.11999999999999744,57.25,654,stop,2011-07-18
-1,-1.0,0.0799999999999983,58.47,606,stop,2011-07-19
