arm,arm_label,population,unit,N,fillable,population_n,population_winners,reel_mean,reel_best,reel_worst,reel_total,reel_win_rate_pct,trades_hidden,manufacture_ratio,nth_percentile,reel_mean_dollars,reel_total_dollars,dollar_unit
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",net,R multiple,5,True,244328,109568,0.9933,0.9959,0.992,4.97,100.0,244323,48865.6,99.998,496.66,2483.32,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",net,R multiple,10,True,244328,109568,0.9926,0.9959,0.9914,9.93,100.0,244318,24432.8,99.9959,496.28,4962.78,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",net,R multiple,20,True,244328,109568,0.9915,0.9959,0.9895,19.83,100.0,244308,12216.4,99.9918,495.74,9914.79,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",net,R multiple,50,True,244328,109568,0.9886,0.9959,0.9848,49.43,100.0,244278,4886.6,99.9795,494.3,24715.21,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",net,R multiple,100,True,244328,109568,0.9853,0.9959,0.9807,98.53,100.0,244228,2443.3,99.9591,492.66,49266.12,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",gross,R multiple,5,True,244328,125313,1.0,1.0,1.0,5.0,100.0,244323,48865.6,99.998,500.0,2500.0,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",gross,R multiple,10,True,244328,125313,1.0,1.0,1.0,10.0,100.0,244318,24432.8,99.9959,500.0,5000.0,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",gross,R multiple,20,True,244328,125313,1.0,1.0,1.0,20.0,100.0,244308,12216.4,99.9918,500.0,10000.0,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",gross,R multiple,50,True,244328,125313,1.0,1.0,1.0,50.0,100.0,244278,4886.6,99.9795,500.0,25000.0,R x $500 risked/trade
arm1_orb_retest,"Arm 1 - ORB retest (measured KILL, -0.2065 R)",gross,R multiple,100,True,244328,125313,1.0,1.0,1.0,100.0,100.0,244228,2443.3,99.9591,500.0,50000.0,R x $500 risked/trade
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",net,credit-multiple (the sim — contract count cancels),5,True,5742,4501,1.8667,1.8853,1.8459,9.33,100.0,5737,1148.4,99.9129,1866.73,9333.67,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",net,credit-multiple (the sim — contract count cancels),10,True,5742,4501,1.8249,1.8853,1.7698,18.25,100.0,5732,574.2,99.8258,1824.91,18249.06,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",net,credit-multiple (the sim — contract count cancels),20,True,5742,4501,1.7445,1.8853,1.5984,34.89,100.0,5722,287.1,99.6517,1744.45,34889.01,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",net,credit-multiple (the sim — contract count cancels),50,True,5742,4501,1.5701,1.8853,1.3644,78.5,100.0,5692,114.8,99.1292,1570.07,78503.4,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",net,credit-multiple (the sim — contract count cancels),100,True,5742,4501,1.4117,1.8853,1.1434,141.17,100.0,5642,57.4,98.2584,1411.74,141174.1,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",gross,credit-multiple (the sim — contract count cancels),5,True,5742,4501,1.8667,1.8853,1.8459,9.33,100.0,5737,1148.4,99.9129,1866.73,9333.67,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",gross,credit-multiple (the sim — contract count cancels),10,True,5742,4501,1.8249,1.8853,1.7698,18.25,100.0,5732,574.2,99.8258,1824.91,18249.06,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",gross,credit-multiple (the sim — contract count cancels),20,True,5742,4501,1.7445,1.8853,1.5984,34.89,100.0,5722,287.1,99.6517,1744.45,34889.01,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",gross,credit-multiple (the sim — contract count cancels),50,True,5742,4501,1.5701,1.8853,1.3644,78.5,100.0,5692,114.8,99.1292,1570.07,78503.4,"credit-multiple x $1,000"
arm2_bear_trap,"Arm 2 - 1-1-2 bear trap (NET-POSITIVE, ruinous-tail specimen)",gross,credit-multiple (the sim — contract count cancels),100,True,5742,4501,1.4117,1.8853,1.1434,141.17,100.0,5642,57.4,98.2584,1411.74,141174.1,"credit-multiple x $1,000"
