ticker,fund,tier,inception,window_start,window_end,months,years,life_yield_pct_yr,nav_rate_pct_yr_published_arithmetic,total_return_pct_yr_published_arithmetic,total_return_pct_yr_geometric,variance_drag_pp,underlying,underlying_pct_yr_published_arithmetic,underlying_pct_yr_geometric,cap_cost_pct_yr_published_arithmetic,cap_cost_pct_yr_geometric,max_drawdown_pct,dollar_became,underlying_dollar_became,aum_usd_bn_stockanalysis_2026_07_01,expense_ratio,distribution_freq
SPYI,NEOS S&P 500 High Income,Anchor·NEOS,2022-08,2022-08-31,2026-06-30,47,3.83,12.84,2.65,15.8,15.18,0.62,SPY,20.85,19.62,-5.05,-4.44,-9.68,1.719,1.987,6.2,0.68%,Mo
QQQI,NEOS Nasdaq-100 High Income,Anchor·NEOS,2024-01,2024-01-31,2026-06-30,30,2.42,15.36,6.81,23.11,22.26,0.85,QQQ,28.89,27.19,-5.78,-4.93,-10.5,1.625,1.788,12.5,0.68%,Mo
IWMI,NEOS Russell-2000 High Income,Anchor·NEOS,2024-06,2024-06-30,2026-06-30,25,2.0,15.62,3.87,20.04,18.96,1.08,IWM,24.36,22.39,-4.33,-3.43,-20.36,1.415,1.498,0.947,0.68%,Mo
CSHI,NEOS Enhanced Income Cash Alt,Anchor·cash,2022-08,2022-08-31,2026-06-30,47,3.83,5.58,-0.15,5.43,5.43,0.0,,,,,,-1.09,1.225,,1.3,0.38%,Mo
TSPY,TappAlpha SPY Growth & Daily Income,Anchor·TappAlpha,2024-08,2024-08-31,2026-06-30,23,1.83,14.21,2.1,16.58,15.64,0.94,SPY,18.8,17.86,-2.22,-2.22,-15.2,1.305,1.352,0.286,0.71%,Mo
JEPI,JPM Equity Premium Income,Anchor·JPM,2020-05,2020-05-31,2026-06-30,74,6.08,8.81,2.03,11.01,10.45,0.56,SPY,18.9,17.5,-7.89,-7.05,-18.93,1.831,2.668,44.3,0.35%,Mo
JEPQ,JPM Nasdaq Equity Premium Income,Anchor·JPM,2022-05,2022-05-31,2026-06-30,50,4.08,11.56,6.55,18.8,17.74,1.06,QQQ,26.96,24.54,-8.16,-6.8,-17.05,1.948,2.45,39.0,0.35%,Mo
GPIX,GS S&P 500 Core Premium Income,Anchor·GS,2023-10,2023-10-31,2026-06-30,33,2.67,8.54,13.82,23.43,22.76,0.68,SPY,26.68,25.71,-3.25,-2.95,-9.44,1.728,1.841,4.4,0.29%,Mo
GPIQ,GS Nasdaq-100 Core Premium Income,Anchor·GS,2023-10,2023-10-31,2026-06-30,33,2.67,10.65,17.5,29.84,28.7,1.14,QQQ,34.6,32.79,-4.76,-4.09,-10.37,1.96,2.13,4.6,0.29%,Mo
ISPY,ProShares S&P 500 High Income,Anchor·ProShares,2023-12,2023-12-31,2026-06-30,31,2.5,9.22,7.86,17.74,17.03,0.71,SPY,21.94,21.07,-4.2,-4.04,-13.41,1.482,1.613,1.3,0.56%,Mo
