fund,month_end,market_yield_pct,yield_on_cost_pct,purchase_month,price_ratio,identity_rel_residual
SCHD,2012-09-30,2.343,2.343,2012-09-30,1.0,0.000e+00
SCHD,2012-10-31,2.365,2.343,2012-09-30,0.9906,0.000e+00
SCHD,2012-11-30,2.354,2.343,2012-09-30,0.9953,0.000e+00
SCHD,2012-12-31,2.858,2.817,2012-09-30,0.9857,1.576e-16
SCHD,2013-01-31,2.708,2.817,2012-09-30,1.0404,1.576e-16
SCHD,2013-02-28,2.652,2.817,2012-09-30,1.0623,0.000e+00
SCHD,2013-03-31,2.741,3.031,2012-09-30,1.1057,1.465e-16
SCHD,2013-04-30,2.662,3.031,2012-09-30,1.1388,1.465e-16
SCHD,2013-05-31,2.625,3.031,2012-09-30,1.1548,0.000e+00
SCHD,2013-06-30,2.722,3.096,2012-09-30,1.1374,0.000e+00
SCHD,2013-07-31,2.603,3.096,2012-09-30,1.1896,0.000e+00
SCHD,2013-08-31,2.698,3.096,2012-09-30,1.1475,1.434e-16
SCHD,2013-09-30,2.713,3.176,2012-09-30,1.1704,0.000e+00
SCHD,2013-10-31,2.584,3.176,2012-09-30,1.2289,0.000e+00
SCHD,2013-11-30,2.52,3.176,2012-09-30,1.2602,0.000e+00
SCHD,2013-12-31,2.465,3.144,2012-09-30,1.2751,0.000e+00
SCHD,2014-01-31,2.58,3.144,2012-09-30,1.2184,0.000e+00
SCHD,2014-02-28,2.484,3.144,2012-09-30,1.2657,1.413e-16
SCHD,2014-03-31,2.584,3.312,2012-09-30,1.2817,1.341e-16
SCHD,2014-04-30,2.538,3.312,2012-09-30,1.3051,1.341e-16
SCHD,2014-05-31,2.505,3.312,2012-09-30,1.3223,2.681e-16
SCHD,2014-06-30,2.604,3.466,2012-09-30,1.3311,0.000e+00
SCHD,2014-07-31,2.65,3.466,2012-09-30,1.3082,0.000e+00
SCHD,2014-08-31,2.562,3.466,2012-09-30,1.3531,0.000e+00
SCHD,2014-09-30,2.646,3.549,2012-09-30,1.3412,2.502e-16
SCHD,2014-10-31,2.595,3.549,2012-09-30,1.3677,2.502e-16
SCHD,2014-11-30,2.52,3.549,2012-09-30,1.4084,0.000e+00
SCHD,2014-12-31,2.627,3.641,2012-09-30,1.3861,0.000e+00
SCHD,2015-01-31,2.711,3.641,2012-09-30,1.343,1.220e-16
SCHD,2015-02-28,2.577,3.641,2012-09-30,1.4132,0.000e+00
SCHD,2015-03-31,2.712,3.718,2012-09-30,1.3708,0.000e+00
SCHD,2015-04-30,2.692,3.718,2012-09-30,1.3812,1.194e-16
SCHD,2015-05-31,2.679,3.718,2012-09-30,1.3882,2.389e-16
SCHD,2015-06-30,2.889,3.847,2012-09-30,1.3318,0.000e+00
SCHD,2015-07-31,2.868,3.847,2012-09-30,1.3412,0.000e+00
SCHD,2015-08-31,3.029,3.847,2012-09-30,1.2699,1.154e-16
SCHD,2015-09-30,3.2,4.002,2012-09-30,1.2504,2.219e-16
SCHD,2015-10-31,2.942,4.002,2012-09-30,1.36,2.219e-16
SCHD,2015-11-30,2.934,4.002,2012-09-30,1.3638,2.219e-16
SCHD,2015-12-31,2.974,3.988,2012-09-30,1.3412,0.000e+00
SCHD,2016-01-31,3.043,3.988,2012-09-30,1.3106,2.227e-16
SCHD,2016-02-29,3.021,3.988,2012-09-30,1.3203,1.114e-16
SCHD,2016-03-31,2.93,4.086,2012-09-30,1.3944,0.000e+00
SCHD,2016-04-30,2.936,4.086,2012-09-30,1.392,0.000e+00
SCHD,2016-05-31,2.895,4.086,2012-09-30,1.4115,2.174e-16
SCHD,2016-06-30,2.862,4.125,2012-09-30,1.4414,0.000e+00
SCHD,2016-07-31,2.782,4.125,2012-09-30,1.4824,2.153e-16
SCHD,2016-08-31,2.792,4.125,2012-09-30,1.4776,2.153e-16
SCHD,2016-09-30,2.673,3.933,2012-09-30,1.4717,1.129e-16
SCHD,2016-10-31,2.715,3.933,2012-09-30,1.4487,0.000e+00
SCHD,2016-11-30,2.629,3.933,2012-09-30,1.496,1.129e-16
SCHD,2016-12-31,2.887,4.376,2012-09-30,1.5155,0.000e+00
SCHD,2017-01-31,2.901,4.376,2012-09-30,1.5082,0.000e+00
SCHD,2017-02-28,2.806,4.376,2012-09-30,1.5597,0.000e+00
SCHD,2017-03-31,2.884,4.472,2012-09-30,1.5506,1.986e-16
SCHD,2017-04-30,2.877,4.472,2012-09-30,1.5544,0.000e+00
SCHD,2017-05-31,2.828,4.472,2012-09-30,1.5816,0.000e+00
SCHD,2017-06-30,2.881,4.52,2012-09-30,1.5687,1.965e-16
SCHD,2017-07-31,2.834,4.52,2012-09-30,1.5948,0.000e+00
SCHD,2017-08-31,2.835,4.52,2012-09-30,1.5944,1.965e-16
SCHD,2017-09-30,2.991,4.868,2012-09-30,1.6278,1.824e-16
SCHD,2017-10-31,2.886,4.868,2012-09-30,1.6866,0.000e+00
SCHD,2017-11-30,2.77,4.868,2012-09-30,1.7576,1.824e-16
SCHD,2017-12-31,2.63,4.681,2012-09-30,1.7798,0.000e+00
SCHD,2018-01-31,2.515,4.681,2012-09-30,1.8609,0.000e+00
SCHD,2018-02-28,2.665,4.681,2012-09-30,1.7562,0.000e+00
SCHD,2018-03-31,2.613,4.457,2012-09-30,1.7054,1.993e-16
SCHD,2018-04-30,2.643,4.457,2012-09-30,1.6863,0.000e+00
SCHD,2018-05-31,2.597,4.457,2012-09-30,1.7165,1.993e-16
SCHD,2018-06-30,2.751,4.716,2012-09-30,1.7144,1.883e-16
SCHD,2018-07-31,2.631,4.716,2012-09-30,1.7924,0.000e+00
SCHD,2018-08-31,2.572,4.716,2012-09-30,1.8334,0.000e+00
SCHD,2018-09-30,2.601,4.796,2012-09-30,1.8435,0.000e+00
SCHD,2018-10-31,2.765,4.796,2012-09-30,1.7346,0.000e+00
SCHD,2018-11-30,2.675,4.796,2012-09-30,1.793,1.852e-16
SCHD,2018-12-31,3.064,5.006,2012-09-30,1.6337,0.000e+00
SCHD,2019-01-31,2.89,5.006,2012-09-30,1.7325,1.774e-16
SCHD,2019-02-28,2.777,5.006,2012-09-30,1.8028,1.774e-16
SCHD,2019-03-31,2.926,5.321,2012-09-30,1.8184,1.669e-16
SCHD,2019-04-30,2.835,5.321,2012-09-30,1.8769,1.669e-16
