symbol,entry_date,expiry,strike,spot,ask,units_ordered,units_run_reconstructed,entry_exposure_ordered_x,entry_exposure_run_reconstructed_x,over_order_factor_asked_for,implied_financing,premium_over_intrinsic
QQQ,2020-07-01,2021-12-17,175.0,250.49,86.0,0.005309593197333227,0.011627014670967111,1.33,2.9124509049305516,250.49,0.042363662041869095,0.041957762784941476
QQQ,2021-06-21,2022-12-16,240.0,344.36,113.49,0.005531433909574405,0.017149428157052952,1.33,3.034099699902905,344.36,0.02608822797722144,0.02651295156231845
QQQ,2022-06-21,2023-12-15,195.0,281.08,104.46,0.005034885421077281,0.007694823089645934,1.33,2.690620734282536,281.08,0.06671474988479488,0.06539063611783126
QQQ,2023-06-20,2024-12-20,255.0,366.9,135.06,0.00525830322565246,0.010122727076618456,1.33,2.7164376685279708,366.9,0.06334730113033925,0.06312346688470981
QQQ,2024-06-24,2025-12-19,329.78,473.96,173.87,0.0056039780726407735,0.013498013476143713,1.33,2.725841200023465,473.96,0.06346022726286255,0.06264241708161027
QQQ,2025-06-23,2026-12-18,370.0,531.65,192.85,0.005525056583606173,0.014260679380483221,1.33,2.756711463335971,531.65,0.05925595562569151,0.05868522524217064
QQQ,2026-06-22,2027-12-17,515.0,735.73,275.94,0.005902990504272551,0.019483206579650077,1.33,2.666204258360132,735.73,0.07627673632003162,0.07504111562665648
MU,2020-07-01,2022-01-21,32.5,49.7,22.95,0.02676056338028169,0.0435604575590462,1.33,2.1649547406845966,49.7,0.12498458038961374,0.11569416498993956
MU,2021-07-26,2023-01-20,52.5,76.3,28.2,0.026591142008011374,0.06577850549146223,1.33,2.7050406642417024,76.3,0.05887789135444076,0.0576671035386632
MU,2022-07-25,2024-01-19,40.0,60.15,25.7,0.024872026028320025,0.03350362489796051,1.33,2.339866026623513,60.15,0.10047432650639342,0.09226932668329178
MU,2023-07-24,2025-01-17,45.0,65.48,26.5,0.023784426964248467,0.03392933098118632,1.33,2.470328144688493,65.48,0.09660209737772192,0.0919364691508857
MU,2024-07-22,2026-01-16,80.0,115.28,47.55,0.02543943964033977,0.04911643188264515,1.33,2.4240589108556962,115.28,0.11199481249271094,0.1064365024288688
MU,2025-07-21,2027-01-15,75.0,113.23,48.85,0.023626691965535695,0.03849705408593483,1.33,2.317598850513544,113.23,0.10270391946570548,0.09379139803938882
